GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ds-proyectop1,dsproyectop1.ds.proyectop1.facade,PaneMaker,24,15,0,0,4,4,2,2,2,2
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoOrganico,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraBasicoOrganico,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraBasicoInorganico,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoPapel,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoTextiles,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoMetal,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoVidrio,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoTecnologica,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraIntermedioOrganico,0,17,0,0,0,7,0,3,0,3
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraIntermedioInorganico,0,17,0,0,0,7,0,3,0,3
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraAvanzadoPlastico,0,23,0,0,0,9,0,4,0,4
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.basuras,BasuraIntermedioReciclable,0,17,0,0,0,7,0,3,0,3
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.niveles,NivelBasico,211,15,16,0,42,5,11,2,2,2
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.niveles,NivelAvanzado,394,15,16,0,68,5,11,2,2,2
ds-proyectop1,dsproyectop1.ds.proyectop1.factory.niveles,NivelIntermedio,281,15,16,0,51,5,11,2,2,2
ds-proyectop1,dsproyectop1.ds.proyectop1,Main,112,0,6,0,26,0,6,0,2,0
ds-proyectop1,dsproyectop1.ds.proyectop1.singleton,Database,26,64,1,7,9,21,1,6,0,3
ds-proyectop1,dsproyectop1.ds.proyectop1.singleton,DatabaseConnection,32,31,1,3,8,14,1,4,0,3
ds-proyectop1,dsproyectop1.ds.proyectop1.factory,Basura,3,13,0,0,1,3,1,1,1,1
ds-proyectop1,dsproyectop1.ds.proyectop1.factory,Nivel,150,26,10,0,34,6,8,1,3,1
